start_offset_hex,start_offset_dec,byte_budget,ref_count,ja,locks,kr
0xFAC,4012,104,1052,"どことも知れぬ雪の荒野。
そこを彷徨うは、名も記憶も失った一人の青年。",[],"어디인지 모를 설원.
그곳에 이름도 기억도 잃은 청년이 있었다."
0x10C9,4297,161,137,"得体の知れない怪物に襲われ、あわや絶体絶命というその時、
彼を救ったのは獣の特徴を持つ少女、クオンであった。",[],"괴물에게 습격당해 절체절명의 위기에 빠진 순간,
그를 구해낸 것은 수인 소녀, 쿠온이었다."
0x1258,4696,116,23,"保護された青年は『ハク』という名を与えられ、
クオンと共に旅をすることとなる。",[],"청년은 ‘하쿠’라는 이름을 얻고,
쿠온과 함께 여행하게 된다."
0x1371,4977,106,16,立ち寄った山里の旅籠屋でハクを待っていたのは新たなる出会い。,[],산골 마을의 여관에서 하쿠에데 다가 온 새로운 만남.
0x1467,5223,173,673,"義侠者共の頭領ウコン、大國ヤマトの貴人であるマロロ。
彼らと意気投合したハクは、ギギリと呼ばれる害蟲駆除に参加する。",[],"의협심 강한 사내들의 두령 우콘, 야마토의 귀인 마로로.
그들과 의기투합한 하쿠는 해충 구제에 참여한다."
0x166E,5742,194,2273,"ちょっと行って蟲を潰すだけの美味い儲け話に意気揚がる面々。
だが……それとは裏腹に、ハクはどこか言い知れぬ違和感を覚えていた{{LOCK_AT_DASH}}","[""{{LOCK_AT_DASH}}""]","간단히 벌레만 잡으면 되는 쉬운 돈벌이에 들뜬 일행.
하지만…… 하쿠는 어딘가 말 못할 불안을 느끼고 있었다{{LOCK_AT_DASH}}"
0x1837,6199,65,12,"テメェ等、配置についたな？
そろそろ来るぜ。",[],"너희들, 배치 끝났지?
슬슬 온다."
0x18DE,6366,16,5,うぃッス！,[],옛!
0x18FA,6394,58,84,マロロ、具合の方はもう問題ねぇんだな？,[],"마로로, 상태는 이제 괜찮은 거냐?"
0x1978,6520,131,47,"にょほほほ、心配かけてしまったでおじゃるな。
この通り、気分爽快、完全復活でおじゃるよ。",[],"뇨호호, 걱정 끼쳐 드렸사옵니다.
보시는 대로, 기분 상쾌! 완전 회복이옵니다."
0x1AD4,6868,40,16,我が秘術、とくと御覧あれ。,[],소인의 비술을 보시죠.
0x1B60,7008,116,33,"一応、納得はしたが……
あんなのとやり合うなんて、ホントに大丈夫なんだろうな？",[],"일단은 납득했지만……
저런 놈이랑 맞붙는다니, 진짜 괜찮은 거 맞냐?"
0x1C89,7305,64,13,ハクって、好きな食べ物が何か……覚えてる？,[],"하쿠, 좋아하는 음식…… 기억나?"
0x1CCC,7372,13,3,……は？,[],……뭐?
0x1CDC,7388,19,3,好きな食べ物,[],좋아하는음식
0x1CF2,7410,34,53,いや、いきなりなんだ？,[],"아니, 갑자기 왜?"
0x1D17,7447,70,6,帰ったら、ハクが好きなモノを食べさせて上げる。,[],"돌아가면, 하쿠가 좋아하는 걸 먹여 줄게."
0x1D60,7520,28,1,だから、大丈夫かな,[],그러니까 괜찮지?
0x1D7F,7551,85,7,ソレの何が大丈夫なのか判らないが……クオンなりの気遣いか,[],뭐가 괜찮다는 건진 모르겠지만…… 쿠온의 배려인가.
0x1DD7,7639,55,2541,これ以上情けない所は見せられんな……,[],한심한 꼴은 보일 수 없지……
0x1E11,7697,34,4,お二人さん、来るぜッ。,[],"다들, 온다!"
0x1E6A,7786,19,1,…………ん？,[],…………에?
0x1E98,7832,37,3,おお、けっこうデケエな。,[],"오, 제법 큰데."
0x1EFF,7935,13,65,んんん？,[],에에에?
0x1F1D,7965,19,1,デカ……イ？,[],크……다고?
0x1F4B,8011,67,3,いや、何か小さい……っていうか、小さすぎる。,[],"아니, 뭔가 작아…라기엔, 너무 작은데."
0x1FF1,8177,28,181,うへェ、スゲェ数。,[],수가 엄청나네.
0x204A,8266,95,6,"デケェなオイ。
確かに、あんなのに咬まれたらタダじゃすまねぇわ。",[],"크다니까.
확실히 저런 놈한테 물리면 멀쩡하진 않겠어."
0x214C,8524,119,14,"いや、デカイって、あれがか？
自分が見たのはもっと、比べ物にならないぐらい{{LOCK_AT_DASH}}","[""{{LOCK_AT_DASH}}""]","아니, 크다는 게 저거야?
내가 본 건 비교도 안 되게 컸는데{{LOCK_AT_DASH}}"
0x226B,8811,31,3,かかったぜ、マロロ！,[],"걸렸다, 마로로!"
0x22C5,8901,34,4,任されたでおじゃるよ。,[],맡겨 주시옵소서.
0x231F,8991,116,19,"マロロは胸を張って一歩前へ出ると、
体をよじりながら何やらブツブツ言い出した。",[],"마로로는 당당히 한 걸음 나서서,
몸을 꼬며 뭔가 중얼거리기 시작했다."
0x243F,9279,125,23,"オンポコポコ、オンコロコロ、ポタナンパサラン、
サンミャクサンポタヤ、ホイサッサ……",[],"온포코포코, 온코로코로, 포타난파사란,
산먀쿠산포타야, 호이삿사……"
0x256C,9580,34,7,…………なあ、クオン。,[],"…………야, 쿠온."
0x25BF,9663,25,5,どうしたのかな？,[],왜?
0x25FE,9726,40,46,何だ、あの不気味な踊りは。,[],"뭐야, 저 섬뜩한 춤은."
0x2678,9848,131,21,"不気味な踊り？　ああ、あれは踊りではなく術法……
あ、こちらでは呪法って言われてるかな。",[],"응? 아아, 저건 춤이 아니라 술법……
아, 여기서는 주법이라고 부르려나."
0x27DE,10206,104,70,"印を結び、想念を力に変えるの。
比較的、弱くて根暗な人に向いてるかな。",[],"인을맺고 상념을 힘으로 바꿔.
약하고 음침한 사람에게 잘 맞지."
